NºBorough,Borough,NºNeighbourhood,Neighbourhood,latitude,longitude,Population,RFD,0-14years,15-29years,30-44years,45-59years,60-74years,75-89years,>=90years,can work population,unemployement rate,Venue count
7,Horta - Guinardó,37,El Carmelo,0.9989827369152185,0.9738451986820402,0.5521781086297215,0.21784565916398713,0.536952851019613,0.47042958967443654,0.5081032825161379,0.5398559328742183,0.4809528310804424,0.569038364035829,0.33555767397521447,0.5436477007014809,0.5930232558139534,0.0
7,Horta - Guinardó,38,La Teixonera,0.9990105440355777,0.9693267894573162,0.2022160187482768,0.2962218649517685,0.18391998960904013,0.18146792525524946,0.1815684658700728,0.20921396342911422,0.17468569808110407,0.19452425215480817,0.14204003813155386,0.20535203949077682,0.49418604651162795,0.0
7,Horta - Guinardó,39,Sant Genís dels Agudells,0.9990897376532045,0.9654967203455117,0.12477598566308244,0.3380225080385852,0.11378101052084687,0.11308033134270853,0.10177173465183353,0.12016148183329375,0.09868607618867568,0.17407470001690045,0.111534795042898,0.12164198493115094,0.5116279069767442,0.0
7,Horta - Guinardó,40,Montbau,0.999207557362737,0.9670128392437428,0.08803763440860216,0.32073954983922826,0.0754643460189635,0.07233673665960316,0.06784782310122237,0.09198131876830523,0.053596748274884205,0.14534392428595572,0.19065776930409914,0.0836840737853988,0.5406976744186047,0.0
7,Horta - Guinardó,41,La Vall d'Hebrón,0.9991945581971918,0.9711246313875233,0.09984146677695065,0.385048231511254,0.09066112482140538,0.07667116162589097,0.07526438676006043,0.10219266999129265,0.10293978636922205,0.12185229001183032,0.09818875119161107,0.09199792153806183,0.5232558139534884,0.0
7,Horta - Guinardó,42,La Clota,0.9991235186015888,0.9722342687137248,0.011769368624207334,0.3758038585209003,0.014807117807507469,0.008668849932575612,0.015176486746326054,0.012348610781287106,0.004064656394744305,0.008450228156160216,0.008579599618684462,0.012912444790854767,0.2616279069767442,0.08333333333333333
7,Horta - Guinardó,43,Horta,0.9992480404782922,0.9752523684135046,0.47111938240970497,0.32073954983922826,0.4465515001948305,0.3835484492390676,0.38943826397472875,0.47209688909997627,0.42886851309197466,0.5528139259760013,0.4547187797902765,0.4617043387892959,0.5988372093023256,0.08333333333333333
8,Nou Barris,44,Vilapicina i La Torre Llobeta,0.999175640673159,0.9829226698056552,0.444668458781362,0.25643086816720256,0.4005715027925705,0.3638027355037565,0.37254498008515313,0.43695084303015913,0.43009736269968807,0.5034645935440257,0.44804575786463297,0.42608469732398024,0.6046511627906977,0.0
8,Nou Barris,45,Porta,0.9992520825193781,0.9829064990752645,0.4557140887786049,0.25884244372990356,0.4209637615274711,0.37516856097091117,0.41718170580964153,0.44763714082165756,0.3784856791757255,0.5403075883048842,0.36129647283126787,0.4666926474408937,0.5348837209302325,0.0
8,Nou Barris,46,Turó de la Peira,0.9992322823061823,0.9797602079429454,0.27071271022883925,0.20860128617363344,0.2835433173139369,0.24349836255056828,0.23362175525339926,0.27760626929470433,0.17203894507987522,0.32398174750718267,0.336510962821735,0.2741491296440634,0.5930232558139534,0.0
